TIME_GRANULARITY,TIME_D_VALUE,EFFECTIVE_MONTH,RECORD_TYPE,TERRITORY,DEALER_NUMBER,RETAIL_FINANCE_PENETRATIONS_T,RF_PENETRATIONS_PERC,RF_PENETRATIONS_RANK,RF_PENETRATIONS_RANK_N,CREDIT_INSURANCE_PERC_T,CREDIT_INS_PERC,CREDIT_INS_RANK,CREDIT_INS_RANK_N,LOAN_PERC_T,LOAN_PERC,LOAN_PERC_RANK,LOAN_PERC_RANK_N,LEASE_PERC_T,LEASE_PERC,LEASE_PERC_RANK,LEASE_PERC_RANK_N,PRE_APPROVAL_T,PREAPPROVED_PERC,PREAPPROVED_RANK,PREAPPROVED_RANK_N,AUTO_APPROVAL_T,AUTOAPPROVED_PERC,AUTOAPPROVED_RANK,AUTOAPPROVED_RANK_N,EXPIRED_APPROVALS_T,EXPIRED_APPROVED_APP_PERC,EXPIRED_APPROVED_APP_RANK,EXPIRED_APPROVED_APP_RANK_N,ESIGN_PDF_T,ESIGNED_PERC,ESIGNED_PERC_RANK,ESIGNED_PERC_RANK_N
MONTHLY,"Mar,2023",01-03-2023,D,55,8600,52-55%,69.23,4,13,10%,0,5,13,50%,66.67,,,50%,33.33,,,10%,0,3,21,10%,11.11,1,15,5%,0,1,1,100%,11.11,6,40
MONTHLY,"Mar,2023",01-03-2023,D,60,114900,52-55%,60,7,24,10%,0,7,13,50%,87.5,,,50%,12.5,,,10%,12.5,2,11,10%,0,3,22,5%,0,1,1,100%,0,8,41
MONTHLY,"Mar,2023",01-03-2023,D,60,51600,52-55%,82.05,1,4,10%,3.57,6,11,50%,0,,,50%,100,,,10%,3.57,4,20,10%,0,3,22,5%,0,1,1,100%,14.29,7,38
MONTHLY,"Mar,2023",01-03-2023,D,60,45300,52-55%,40,11,38,10%,12.5,5,8,50%,37.5,,,50%,62.5,,,10%,0,5,21,10%,0,3,22,5%,0,1,1,100%,93.75,2,2
MONTHLY,"Jul,2023",01-07-2023,N,,,45%,52.24,,,8%,3.04,,,40%,61.06,,,35%,38.94,,,5%,3.74,,,6%,8.96,,,5%,22.75,,,80%,52.26,,
MONTHLY,"Jan,2024",01-01-2024,T,110,,52-55%,56.16,5,,10%,0,4,,50%,39.47,,,50%,60.53,,,10%,6.58,5,,10%,3.95,9,,5%,87.34,10,,100%,97.37,1,
MONTHLY,"Apr,2023",01-04-2023,T,115,,52-55%,61.98,4,,10%,0,5,,50%,54.98,,,50%,45.02,,,10%,2.6,9,,10%,6.93,6,,5%,0,1,,100%,57.14,4,
MONTHLY,"Feb,2024",01-02-2024,T,105,,52-55%,45.95,6,,10%,0,5,,50%,43.48,,,50%,56.52,,,10%,8.7,2,,10%,4.35,9,,5%,86,9,,100%,82.61,9,
MONTHLY,"Sep,2023",01-09-2023,T,105,,52-55%,39.73,9,,10%,0,6,,50%,66.67,,,50%,33.33,,,10%,0,1,,10%,23.08,2,,5%,54.55,9,,100%,79.49,7,
MONTHLY,"Jan,2024",01-01-2024,N,,,45%,59.06,,,8%,3.15,,,40%,56.97,,,35%,43.03,,,5%,5.58,,,6%,8.85,,,5%,84.04,,,80%,92.12,,
MONTHLY,"Nov,2023",01-11-2023,T,140,,52-55%,63.33,7,,10%,0,6,,50%,76.12,,,50%,23.88,,,10%,2.99,8,,10%,17.91,1,,5%,62.68,7,,100%,86.57,8,
MONTHLY,"Oct,2023",01-10-2023,T,140,,52-55%,62.5,5,,10%,0,7,,50%,74.49,,,50%,25.51,,,10%,1.02,8,,10%,14.29,3,,5%,56.81,9,,100%,84.69,8,
MONTHLY,"Jul,2023",01-07-2023,D,65,201880,52-55%,87.5,2,2,10%,0,3,16,50%,62.5,,,50%,37.5,,,10%,0,6,22,10%,25,4,9,5%,0,1,1,100%,37.5,6,36
MONTHLY,"Mar,2023",01-03-2023,D,65,142300,52-55%,72.73,2,9,10%,10,2,9,50%,70,,,50%,30,,,10%,10,2,13,10%,20,2,9,5%,0,1,1,100%,80,2,8
MONTHLY,"Aug,2023",01-08-2023,T,140,,52-55%,52.86,7,,10%,1.02,5,,50%,83.67,,,50%,16.33,,,10%,0,10,,10%,8.16,7,,5%,37.84,10,,100%,58.16,9,
MONTHLY,"Jan,2023",01-01-2023,T,140,,52-55%,55.68,5,,10%,0,5,,50%,69.84,,,50%,30.16,,,10%,0,10,,10%,17.46,1,,5%,0,1,,100%,36.51,8,
MONTHLY,"Sep,2023",01-09-2023,T,140,,52-55%,49.21,6,,10%,0,6,,50%,76.92,,,50%,23.08,,,10%,0,1,,10%,19.23,6,,5%,46.24,8,,100%,84.62,5,
MONTHLY,"Apr,2023",01-04-2023,N,,,45%,55.43,,,8%,2.16,,,40%,52.74,,,35%,47.26,,,5%,6.64,,,6%,7.06,,,5%,0,,,80%,53.49,,
MONTHLY,"Jul,2023",01-07-2023,T,120,,52-55%,44.5,10,,10%,0,5,,50%,83.87,,,50%,16.13,,,10%,5.38,2,,10%,10.75,5,,5%,40,10,,100%,86.02,1,
MONTHLY,"Aug,2023",01-08-2023,N,,,45%,55.15,,,8%,2.35,,,40%,62.16,,,35%,37.84,,,5%,1.62,,,6%,13.94,,,5%,32.83,,,80%,69.04,,
MONTHLY,"Mar,2023",01-03-2023,T,100,,52-55%,46.94,6,,10%,0,5,,50%,76.92,,,50%,23.08,,,10%,3.85,7,,10%,11.54,3,,5%,0,1,,100%,38.46,8,
MONTHLY,"Mar,2023",01-03-2023,T,135,,52-55%,57.06,4,,10%,2.38,3,,50%,53.17,,,50%,46.83,,,10%,2.38,9,,10%,9.52,5,,5%,0,1,,100%,38.89,7,
MONTHLY,"Oct,2023",01-10-2023,D,10,201060,52-55%,77.78,3,15,10%,0,1,16,50%,34.78,,,50%,65.22,,,10%,0,2,22,10%,26.09,3,9,5%,42.11,2,21,100%,69.57,4,25
MONTHLY,"Oct,2023",01-10-2023,D,10,200980,52-55%,100,1,1,10%,0,1,16,50%,100,,,50%,0,,,10%,0,2,22,10%,0,5,42,5%,57.14,4,46,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,10,201550,52-55%,40,9,50,10%,0,1,16,50%,100,,,50%,0,,,10%,0,2,22,10%,0,5,42,5%,60,7,51,100%,100,1,1
MONTHLY,"Jul,2023",01-07-2023,D,10,201060,52-55%,50,5,36,10%,0,1,16,50%,30.77,,,50%,69.23,,,10%,0,3,22,10%,7.69,4,25,5%,0,1,1,100%,69.23,2,19
MONTHLY,"Oct,2023",01-10-2023,D,65,136800,52-55%,75,4,18,10%,15.38,2,9,50%,92.31,,,50%,7.69,,,10%,0,5,22,10%,0,12,42,5%,57.14,10,46,100%,92.31,3,9
MONTHLY,"Oct,2023",01-10-2023,D,65,201880,52-55%,0,15,61,10%,0,3,16,50%,0,,,50%,0,,,10%,0,5,22,10%,0,12,42,5%,100,17,72,100%,0,15,40
MONTHLY,"Jul,2023",01-07-2023,D,50,201860,52-55%,50,4,36,10%,0,1,16,50%,100,,,50%,0,,,10%,0,5,22,10%,0,6,34,5%,0,1,1,100%,50,9,30
MONTHLY,"Jul,2023",01-07-2023,D,50,201440,52-55%,23.53,9,60,10%,0,1,16,50%,100,,,50%,0,,,10%,0,5,22,10%,60,1,3,5%,50,3,33,100%,80,6,13
MONTHLY,"Oct,2023",01-10-2023,T,105,,52-55%,55.68,6,,10%,1.82,5,,50%,61.82,,,50%,38.18,,,10%,0,9,,10%,16.36,2,,5%,50,4,,100%,78.18,9,
MONTHLY,"Aug,2023",01-08-2023,T,115,,52-55%,58.03,4,,10%,0,7,,50%,63.18,,,50%,36.82,,,10%,2.49,3,,10%,20.4,2,,5%,28.78,2,,100%,69.15,5,
MONTHLY,"Apr,2023",01-04-2023,D,20,200160,52-55%,25,9,53,10%,0,1,15,50%,100,,,50%,0,,,10%,75,1,1,10%,0,4,28,5%,0,1,1,100%,75,5,14
MONTHLY,"Apr,2023",01-04-2023,D,20,201430,52-55%,0,10,59,10%,0,1,15,50%,0,,,50%,0,,,10%,0,5,26,10%,0,4,28,5%,0,1,1,100%,0,11,47
MONTHLY,"Apr,2023",01-04-2023,D,20,201050,52-55%,60,4,30,10%,0,1,15,50%,50,,,50%,50,,,10%,0,5,26,10%,50,1,2,5%,0,1,1,100%,0,11,47
MONTHLY,"Jan,2023",01-01-2023,D,45,143200,52-55%,0,10,43,10%,0,1,13,50%,0,,,50%,0,,,10%,0,8,19,10%,0,5,22,5%,0,1,1,100%,0,11,36
MONTHLY,"Dec,2023",01-12-2023,D,50,2700,52-55%,43.48,9,38,10%,0,1,14,50%,92.86,,,50%,7.14,,,10%,0,1,21,10%,0,7,27,5%,65.45,3,20,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,65,29200,52-55%,64.71,7,21,10%,0,3,19,50%,68,,,50%,32,,,10%,0,4,36,10%,4,11,40,5%,0,1,1,100%,76,1,18
MONTHLY,"Aug,2023",01-08-2023,D,10,200620,52-55%,54.55,5,28,10%,0,2,13,50%,100,,,50%,0,,,10%,0,1,14,10%,0,7,41,5%,20,4,11,100%,72.73,2,21
MONTHLY,"Aug,2023",01-08-2023,D,10,11600,52-55%,45.45,9,38,10%,14.29,1,7,50%,100,,,50%,0,,,10%,0,1,14,10%,0,7,41,5%,11.11,2,4,100%,42.86,6,35
MONTHLY,"Aug,2023",01-08-2023,D,10,9400,52-55%,60,3,22,10%,0,2,13,50%,66.67,,,50%,33.33,,,10%,0,1,14,10%,66.67,1,4,5%,60,10,44,100%,33.33,7,37
MONTHLY,"Dec,2023",01-12-2023,D,50,7100,52-55%,58.33,6,31,10%,0,1,14,50%,87.5,,,50%,12.5,,,10%,0,1,21,10%,12.5,5,13,5%,75,8,42,100%,87.5,2,12
MONTHLY,"Apr,2023",01-04-2023,D,60,200250,52-55%,40,8,44,10%,14.29,4,8,50%,42.86,,,50%,57.14,,,10%,0,7,26,10%,0,5,28,5%,0,1,1,100%,0,7,47
MONTHLY,"Apr,2023",01-04-2023,D,60,136700,52-55%,100,1,1,10%,0,7,15,50%,100,,,50%,0,,,10%,12.5,5,14,10%,0,5,28,5%,0,1,1,100%,0,7,47
MONTHLY,"Feb,2023",01-02-2023,D,55,201480,52-55%,50,7,27,10%,0,6,14,50%,0,,,50%,100,,,10%,0,4,17,10%,0,2,17,5%,0,1,1,100%,0,7,34
MONTHLY,"Mar,2024",01-03-2024,D,40,201790,52-55%,0,3,12,10%,0,1,5,50%,0,,,50%,0,,,10%,0,2,7,10%,0,1,7,5%,88.46,10,77,100%,0,2,6
MONTHLY,"Mar,2024",01-03-2024,D,40,37100,52-55%,0,3,12,10%,0,1,5,50%,0,,,50%,0,,,10%,0,2,7,10%,0,1,7,5%,92.86,11,82,100%,0,2,6
MONTHLY,"Nov,2023",01-11-2023,D,55,39000,52-55%,77.14,5,13,10%,0,8,15,50%,0,,,50%,100,,,10%,4.76,5,19,10%,0,2,28,5%,57.32,3,29,100%,95.24,3,5
MONTHLY,"Sep,2023",01-09-2023,D,50,201860,52-55%,60,2,27,10%,0,1,16,50%,50,,,50%,50,,,10%,0,1,1,10%,50,1,6,5%,100,10,72,100%,50,6,23
MONTHLY,"Sep,2023",01-09-2023,D,50,59900,52-55%,53.33,5,35,10%,0,1,16,50%,87.5,,,50%,12.5,,,10%,0,1,1,10%,25,3,18,5%,33.33,3,22,100%,87.5,3,9
MONTHLY,"Sep,2023",01-09-2023,D,35,201400,52-55%,23.08,7,54,10%,0,1,16,50%,100,,,50%,0,,,10%,0,1,1,10%,25,3,18,5%,0,1,1,100%,50,2,23
MONTHLY,"Feb,2024",01-02-2024,D,35,200690,52-55%,50,3,17,10%,0,1,12,50%,100,,,50%,0,,,10%,0,2,19,10%,0,2,20,5%,92.68,8,71,100%,100,1,1
MONTHLY,"Feb,2024",01-02-2024,D,35,201460,52-55%,0,5,32,10%,0,1,12,50%,0,,,50%,0,,,10%,0,2,19,10%,0,2,20,5%,100,10,79,100%,0,3,15
MONTHLY,"Mar,2024",01-03-2024,D,30,201760,52-55%,0,2,12,10%,0,1,5,50%,0,,,50%,0,,,10%,0,1,7,10%,0,3,7,5%,90.91,9,81,100%,0,2,6
MONTHLY,"Oct,2023",01-10-2023,D,40,6900,52-55%,75,1,18,10%,0,1,16,50%,100,,,50%,0,,,10%,0,4,22,10%,25,1,10,5%,16.67,1,3,100%,100,1,1
MONTHLY,"Dec,2023",01-12-2023,T,130,,52-55%,79.11,1,,10%,7.69,2,,50%,42.05,,,50%,57.95,,,10%,4.62,7,,10%,1.54,10,,5%,74.85,5,,100%,91.79,2,
MONTHLY,"Oct,2023",01-10-2023,D,40,201790,52-55%,47.06,8,43,10%,0,1,16,50%,0,,,50%,100,,,10%,0,4,22,10%,12.5,6,22,5%,56.25,9,44,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,40,201100,52-55%,44.44,9,47,10%,0,1,16,50%,100,,,50%,0,,,10%,0,4,22,10%,20,3,15,5%,100,13,72,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,40,37100,52-55%,40,10,50,10%,0,1,16,50%,100,,,50%,0,,,10%,0,4,22,10%,9.09,7,28,5%,33.33,3,12,100%,100,1,1
MONTHLY,"Jul,2023",01-07-2023,D,55,39000,52-55%,66.67,3,14,10%,0,8,16,50%,26.67,,,50%,73.33,,,10%,0,4,22,10%,0,3,34,5%,15,2,13,100%,53.33,3,29
MONTHLY,"Feb,2023",01-02-2023,D,65,142700,52-55%,87.5,2,3,10%,0,3,14,50%,71.43,,,50%,28.57,,,10%,0,4,17,10%,14.29,2,12,5%,0,1,1,100%,71.43,3,10
MONTHLY,"Feb,2023",01-02-2023,D,65,200700,52-55%,66.67,4,18,10%,0,3,14,50%,100,,,50%,0,,,10%,0,4,17,10%,0,5,17,5%,0,1,1,100%,25,8,30
MONTHLY,"Jan,2024",01-01-2024,D,45,200740,52-55%,80,4,7,10%,0,1,14,50%,6.67,,,50%,93.33,,,10%,0,5,19,10%,0,8,26,5%,87.07,10,58,100%,80,4,10
MONTHLY,"Jan,2024",01-01-2024,D,45,138100,52-55%,69.23,6,13,10%,0,1,14,50%,90.91,,,50%,9.09,,,10%,0,5,19,10%,18.18,4,12,5%,88.24,11,62,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,55,138700,52-55%,78.05,2,4,10%,7.69,4,7,50%,30.77,,,50%,69.23,,,10%,26.92,1,4,10%,0,4,46,5%,0,1,1,100%,94.23,2,2
MONTHLY,"May,2023",01-05-2023,D,55,201480,52-55%,57.89,7,32,10%,0,9,19,50%,16.67,,,50%,83.33,,,10%,16.67,2,8,10%,0,4,46,5%,0,1,1,100%,8.33,7,64
MONTHLY,"Aug,2023",01-08-2023,D,50,200860,52-55%,57.14,7,26,10%,0,1,13,50%,80,,,50%,20,,,10%,0,2,14,10%,20,5,21,5%,50,8,42,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,40,27600,52-55%,60.87,6,26,10%,0,1,16,50%,11.76,,,50%,88.24,,,10%,0,1,1,10%,58.82,3,5,5%,51.61,10,53,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,40,50100,52-55%,12.5,11,57,10%,0,1,16,50%,100,,,50%,0,,,10%,0,1,1,10%,200,1,1,5%,20,2,7,100%,0,5,31
MONTHLY,"Oct,2023",01-10-2023,D,20,200940,52-55%,77.78,3,15,10%,0,2,16,50%,85.71,,,50%,14.29,,,10%,0,3,22,10%,0,9,42,5%,70,12,66,100%,100,1,1
MONTHLY,"Oct,2023",01-10-2023,D,20,128100,52-55%,46.88,9,44,10%,0,2,16,50%,57.89,,,50%,42.11,,,10%,5.26,2,19,10%,15.79,8,19,5%,30.77,2,8,100%,94.74,2,6
MONTHLY,"May,2023",01-05-2023,D,10,200980,52-55%,73.33,1,9,10%,0,1,19,50%,100,,,50%,0,,,10%,0,3,36,10%,10,6,24,5%,0,1,1,100%,90,1,7
MONTHLY,"Oct,2023",01-10-2023,D,20,50400,52-55%,100,1,1,10%,0,2,16,50%,100,,,50%,0,,,10%,0,3,22,10%,33.33,2,5,5%,60,8,51,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,10,11600,52-55%,57.14,8,35,10%,0,1,19,50%,85.71,,,50%,14.29,,,10%,28.57,1,3,10%,14.29,5,20,5%,0,1,1,100%,57.14,4,31
MONTHLY,"May,2023",01-05-2023,D,10,50800,52-55%,0,13,83,10%,0,1,19,50%,0,,,50%,0,,,10%,0,3,36,10%,0,8,46,5%,0,1,1,100%,0,11,66
MONTHLY,"Mar,2024",01-03-2024,D,65,136800,52-55%,0,4,12,10%,0,2,5,50%,0,,,50%,0,,,10%,0,3,7,10%,0,4,7,5%,81.82,10,51,100%,0,4,6
MONTHLY,"Mar,2024",01-03-2024,D,65,200200,52-55%,100,1,1,10%,0,2,5,50%,100,,,50%,0,,,10%,0,3,7,10%,0,4,7,5%,92.86,17,82,100%,100,1,1
MONTHLY,"Mar,2024",01-03-2024,D,65,118300,52-55%,0,4,12,10%,0,2,5,50%,0,,,50%,0,,,10%,0,3,7,10%,0,4,7,5%,0,1,1,100%,0,4,6
MONTHLY,"Sep,2023",01-09-2023,D,55,29300,52-55%,50,9,39,10%,66.67,1,1,50%,100,,,50%,0,,,10%,0,1,1,10%,33.33,3,15,5%,57.14,10,61,100%,100,1,1
MONTHLY,"Sep,2023",01-09-2023,D,55,48400,52-55%,58.33,8,30,10%,44.44,2,3,50%,44.44,,,50%,55.56,,,10%,0,1,1,10%,0,7,36,5%,56,9,58,100%,66.67,4,18
MONTHLY,"Mar,2024",01-03-2024,D,45,28150,52-55%,100,1,1,10%,0,1,5,50%,100,,,50%,0,,,10%,0,4,7,10%,0,4,7,5%,0,1,1,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,50,200290,52-55%,43.48,7,61,10%,0,1,19,50%,82.35,,,50%,17.65,,,10%,0,5,36,10%,5.88,6,36,5%,0,1,1,100%,41.18,5,42
MONTHLY,"May,2023",01-05-2023,D,50,201580,52-55%,51.72,4,48,10%,0,1,19,50%,76.47,,,50%,23.53,,,10%,0,5,36,10%,17.65,4,17,5%,0,1,1,100%,58.82,3,30
MONTHLY,"Oct,2023",01-10-2023,D,30,201760,52-55%,57.14,4,34,10%,0,2,16,50%,100,,,50%,0,,,10%,0,2,22,10%,0,4,42,5%,100,10,72,100%,100,1,1
MONTHLY,"Jun,2023",01-06-2023,D,30,200820,52-55%,0,11,79,10%,0,2,15,50%,100,,,50%,0,,,10%,0,3,25,10%,0,6,35,5%,0,1,1,100%,0,8,62
MONTHLY,"Jun,2023",01-06-2023,D,30,201620,52-55%,50,5,55,10%,7.69,1,10,50%,76.92,,,50%,23.08,,,10%,0,3,25,10%,0,6,35,5%,0,1,1,100%,61.54,3,29
MONTHLY,"Mar,2023",01-03-2023,D,30,62200,52-55%,100,1,1,10%,0,1,13,50%,100,,,50%,0,,,10%,0,2,21,10%,66.67,1,2,5%,0,1,1,100%,66.67,2,15
MONTHLY,"Mar,2023",01-03-2023,D,30,139500,52-55%,55.56,4,26,10%,0,1,13,50%,40,,,50%,60,,,10%,20,1,7,10%,0,3,22,5%,0,1,1,100%,20,4,36
MONTHLY,"Mar,2023",01-03-2023,D,30,46700,52-55%,25,6,45,10%,0,1,13,50%,100,,,50%,0,,,10%,0,2,21,10%,0,3,22,5%,0,1,1,100%,0,5,41
MONTHLY,"Apr,2023",01-04-2023,D,30,62200,52-55%,0,6,59,10%,0,1,15,50%,100,,,50%,0,,,10%,0,2,26,10%,0,3,28,5%,0,1,1,100%,100,1,1
MONTHLY,"Feb,2023",01-02-2023,D,20,200300,52-55%,0,9,41,10%,0,1,14,50%,0,,,50%,0,,,10%,0,1,17,10%,0,4,17,5%,0,1,1,100%,0,8,34
MONTHLY,"Jan,2024",01-01-2024,D,55,15400,52-55%,75,5,9,10%,9.52,3,10,50%,23.81,,,50%,76.19,,,10%,9.52,3,14,10%,4.76,2,23,5%,84.8,5,48,100%,100,1,1
MONTHLY,"Jan,2024",01-01-2024,D,55,48400,52-55%,57.14,9,19,10%,40,1,2,50%,80,,,50%,20,,,10%,0,5,19,10%,0,3,26,5%,100,10,84,100%,100,1,1
MONTHLY,"Jan,2024",01-01-2024,D,55,39000,52-55%,87.5,3,4,10%,0,5,14,50%,9.09,,,50%,90.91,,,10%,18.18,1,8,10%,0,3,26,5%,76.64,1,18,100%,100,1,1
MONTHLY,"Dec,2023",01-12-2023,D,10,201810,52-55%,33.33,8,43,10%,0,1,14,50%,100,,,50%,0,,,10%,0,2,21,10%,0,4,27,5%,81.82,8,59,100%,100,1,1
MONTHLY,"Dec,2023",01-12-2023,D,10,201060,52-55%,65,4,24,10%,0,1,14,50%,35.71,,,50%,64.29,,,10%,0,2,21,10%,0,4,27,5%,69.64,4,28,100%,64.29,4,23
MONTHLY,"Dec,2023",01-12-2023,D,10,13500,52-55%,33.33,8,43,10%,0,1,14,50%,60,,,50%,40,,,10%,0,2,21,10%,20,2,9,5%,82.35,9,62,100%,60,5,24
MONTHLY,"Feb,2023",01-02-2023,D,60,201740,52-55%,75,5,14,10%,33.33,2,3,50%,0,,,50%,100,,,10%,0,4,17,10%,0,3,17,5%,0,1,1,100%,100,1,1
MONTHLY,"Feb,2023",01-02-2023,D,60,136700,52-55%,85.71,1,5,10%,60,1,2,50%,60,,,50%,40,,,10%,0,4,17,10%,0,3,17,5%,0,1,1,100%,20,5,32
MONTHLY,"Aug,2023",01-08-2023,D,60,51600,52-55%,60,6,22,10%,0,6,13,50%,12.5,,,50%,87.5,,,10%,0,3,14,10%,0,7,41,5%,47.54,10,41,100%,75,3,18
MONTHLY,"May,2023",01-05-2023,D,35,200690,52-55%,66.67,3,18,10%,7.69,1,7,50%,100,,,50%,0,,,10%,0,3,36,10%,0,7,46,5%,0,1,1,100%,100,1,1
MONTHLY,"May,2023",01-05-2023,D,35,201400,52-55%,41.67,8,64,10%,0,2,19,50%,100,,,50%,0,,,10%,0,3,36,10%,0,7,46,5%,0,1,1,100%,60,3,29
MONTHLY,"May,2023",01-05-2023,D,20,200190,52-55%,43.48,8,61,10%,0,2,19,50%,100,,,50%,0,,,10%,8.33,4,20,10%,16.67,5,19,5%,0,1,1,100%,75,4,19
MONTHLY,"Feb,2024",01-02-2024,D,55,48400,52-55%,40,6,21,10%,50,2,2,50%,100,,,50%,0,,,10%,0,4,19,10%,0,2,20,5%,97.22,10,78,100%,100,1,1
MONTHLY,"Jan,2024",01-01-2024,D,35,201450,52-55%,83.33,2,6,10%,0,1,14,50%,33.33,,,50%,66.67,,,10%,0,2,19,10%,50,1,3,5%,82.86,6,42,100%,100,1,1
MONTHLY,"Jan,2023",01-01-2023,D,65,118300,52-55%,0,14,43,10%,0,2,13,50%,0,,,50%,0,,,10%,0,3,19,10%,0,8,22,5%,0,1,1,100%,0,12,36
MONTHLY,"Jan,2023",01-01-2023,D,65,4600,52-55%,87.5,3,3,10%,0,2,13,50%,38.89,,,50%,61.11,,,10%,0,3,19,10%,16.67,5,13,5%,0,1,1,100%,55.56,5,16
MONTHLY,"Feb,2024",01-02-2024,D,55,200720,52-55%,50,5,17,10%,0,6,12,50%,0,,,50%,100,,,10%,0,4,19,10%,0,2,20,5%,86.05,5,52,100%,100,1,1
MONTHLY,"Jan,2023",01-01-2023,D,20,201000,52-55%,100,1,1,10%,0,1,13,50%,100,,,50%,0,,,10%,0,4,19,10%,0,7,22,5%,0,1,1,100%,0,9,36
MONTHLY,"Jan,2023",01-01-2023,D,20,201050,52-55%,50,7,25,10%,0,1,13,50%,66.67,,,50%,33.33,,,10%,0,4,19,10%,0,7,22,5%,0,1,1,100%,66.67,4,12
MONTHLY,"Jan,2023",01-01-2023,D,40,201790,52-55%,50,3,25,10%,0,1,13,50%,0,,,50%,100,,,10%,33.33,2,3,10%,133.33,1,1,5%,0,1,1,100%,100,1,1
MONTHLY,"Jan,2023",01-01-2023,D,40,201830,52-55%,0,9,43,10%,0,1,13,50%,100,,,50%,0,,,10%,100,1,1,10%,0,6,22,5%,0,1,1,100%,0,8,36
MONTHLY,"Feb,2024",01-02-2024,D,45,28150,52-55%,0,10,32,10%,0,1,12,50%,0,,,50%,0,,,10%,0,3,19,10%,0,10,20,5%,0,1,1,100%,0,5,15
MONTHLY,"Dec,2023",01-12-2023,D,45,138100,52-55%,45,9,36,10%,0,1,14,50%,85.71,,,50%,14.29,,,10%,0,7,21,10%,14.29,4,12,5%,81.54,10,58,100%,100,1,1
MONTHLY,"Jan,2024",01-01-2024,D,20,200580,52-55%,80,2,7,10%,0,2,14,50%,87.5,,,50%,12.5,,,10%,12.5,3,12,10%,12.5,6,16,5%,72.73,7,12,100%,100,1,1
MONTHLY,"Jan,2024",01-01-2024,D,20,201430,52-55%,80,2,7,10%,0,2,14,50%,100,,,50%,0,,,10%,0,4,19,10%,25,4,9,5%,80,10,29,100%,100,1,1
MONTHLY,"Jan,2024",01-01-2024,D,20,200190,52-55%,80,2,7,10%,0,2,14,50%,100,,,50%,0,,,10%,0,4,19,10%,40,3,6,5%,100,15,84,100%,100,1,1
MONTHLY,"Mar,2023",01-03-2023,D,20,200540,52-55%,25,11,45,10%,0,2,13,50%,100,,,50%,0,,,10%,0,5,21,10%,0,5,22,5%,0,1,1,100%,100,1,1
MONTHLY,"Mar,2023",01-03-2023,D,20,200390,52-55%,0,13,53,10%,0,2,13,50%,0,,,50%,0,,,10%,0,5,21,10%,0,5,22,5%,0,1,1,100%,0,10,41
MONTHLY,"Mar,2023",01-03-2023,D,40,40800,52-55%,75,1,8,10%,0,1,13,50%,100,,,50%,0,,,10%,0,3,21,10%,33.33,2,5,5%,0,1,1,100%,66.67,3,15
MONTHLY,"Mar,2023",01-03-2023,D,40,201070,52-55%,33.33,9,42,10%,0,1,13,50%,100,,,50%,0,,,10%,0,3,21,10%,0,6,22,5%,0,1,1,100%,100,1,1
MONTHLY,"Jun,2023",01-06-2023,D,50,2700,52-55%,54.35,3,48,10%,0,1,15,50%,93.94,,,50%,6.06,,,10%,6.06,4,18,10%,0,6,35,5%,20,2,9,100%,72.73,5,19
MONTHLY,"Jun,2023",01-06-2023,D,50,201440,52-55%,50,5,55,10%,0,1,15,50%,100,,,50%,0,,,10%,0,5,25,10%,14.29,4,16,5%,0,1,1,100%,57.14,8,32
MONTHLY,"Aug,2023",01-08-2023,D,30,62200,52-55%,0,9,57,10%,0,2,13,50%,0,,,50%,0,,,10%,0,2,14,10%,0,2,41,5%,0,1,1,100%,0,6,48
MONTHLY,"Dec,2023",01-12-2023,D,65,51900,52-55%,64.29,8,25,10%,0,1,14,50%,76.47,,,50%,23.53,,,10%,0,3,21,10%,5.88,6,22,5%,79.25,14,50,100%,76.47,9,18
MONTHLY,"Dec,2023",01-12-2023,D,65,10000,52-55%,66.67,7,22,10%,0,1,14,50%,83.33,,,50%,16.67,,,10%,0,3,21,10%,16.67,2,10,5%,80,15,52,100%,100,1,1
MONTHLY,"Dec,2023",01-12-2023,D,65,200730,52-55%,68.42,6,20,10%,0,1,14,50%,21.05,,,50%,78.95,,,10%,5.26,2,16,10%,0,7,27,5%,67.31,7,22,100%,78.95,7,16
MONTHLY,"Dec,2023",01-12-2023,D,35,200880,52-55%,33.33,5,43,10%,0,1,14,50%,100,,,50%,0,,,10%,0,3,21,10%,0,3,27,5%,81.25,5,56,100%,100,1,1
MONTHLY,"Dec,2023",01-12-2023,D,35,200000,52-55%,12.5,7,51,10%,0,1,14,50%,50,,,50%,50,,,10%,0,3,21,10%,0,3,27,5%,88.89,8,71,100%,100,1,1
MONTHLY,"Feb,2024",01-02-2024,D,30,139500,52-55%,60,4,14,10%,0,1,12,50%,100,,,50%,0,,,10%,0,2,19,10%,0,1,20,5%,81.25,6,33,100%,100,1,1
